freq_yellow,male_success,female_pollination_success
0.095027445,1.411557789,1.319095477
0.297405489,1.238693467,1.126130653
0.497260147,1.085929648,1.10201005
0.69940317,0.989447236,0.997487437
0.899158871,0.868844221,0.760301508
