Data,Study,Trait,Sample1,Sample2,AuthorDate,Data.type,Citation,Species,System,Order,Sex,GenPhen,AlloSyn,Autonomous,Trait,Dimensionality (k),BodySizeCorrelated,Years,GLength,Darwins,Darwins.num,Darwins.num.abs,Darwins (standardized by k),Haldanes,Generations,log10.gens,h.num,Darwin.Numerator,log10.years,d,InSitu
19,1,1,TAUP,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-73.79152684,-0.016529302,0.016529302,-73.79152684,NA,223.9999998,2.350248018,NA,0.016529302,2.350248018,-0.016529302,2
20,1,1,TAUP,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-97.78914605,-0.022100347,0.022100347,-97.78914605,NA,225.9999999,2.354108439,NA,0.022100347,2.354108439,-0.022100347,2
21,1,1,TAUP,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-97.78914605,-0.022100347,0.022100347,-97.78914605,NA,225.9999999,2.354108439,NA,0.022100347,2.354108439,-0.022100347,2
22,1,1,TAUP,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-97.78914605,-0.022100347,0.022100347,-97.78914605,NA,225.9999999,2.354108439,NA,0.022100347,2.354108439,-0.022100347,2
23,1,1,TAUP,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-100.4561227,-0.022100347,0.022100347,-100.4561227,NA,220.0000001,2.342422681,NA,0.022100347,2.342422681,-0.022100347,2
24,1,1,PALM,HAST,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,0,0,0,0,NA,220.0000001,2.342422681,NA,0,2.342422681,0,2
25,1,1,PALM,CHCH,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,221.9999998,1,0,0,0,0,NA,221.9999998,2.346352974,NA,0,2.346352974,0,2
26,1,1,PALM,KAIK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,0,0,0,0,NA,225.9999999,2.354108439,NA,0,2.354108439,0,2
27,1,1,PALM,NELN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-24.59667859,-0.005509656,0.005509656,-24.59667859,NA,223.9999998,2.350248018,NA,0.005509656,2.350248018,-0.005509656,2
28,1,1,PALM,AUCK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
29,1,1,PALM,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
30,1,1,PALM,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
31,1,1,PALM,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
32,1,1,PALM,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
33,1,1,PALM,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-75.54945906,-0.016620881,0.016620881,-75.54945906,NA,220.0000001,2.342422681,NA,0.016620881,2.342422681,-0.016620881,2
34,1,1,HAST,CHCH,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,221.9999998,1,0,0,0,0,NA,221.9999998,2.346352974,NA,0,2.346352974,0,2
35,1,1,HAST,KAIK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,0,0,0,0,NA,225.9999999,2.354108439,NA,0,2.354108439,0,2
