antler_mass,LRS
315.5131782,0.986374746
333.4423442,0.988028599
357.477308,6.636021213
360.7227438,0.986451583
407.4901476,0.985070812
423.4130806,4.336180074
419.961117,0.984259433
429.1516011,2.236235013
442.149691,1.596669411
453.4788136,0.984657095
453.8436261,1.600546306
473.1948179,10.65125259
490.7650433,6.615168054
493.594234,1.595057828
497.9085541,0.984273672
499.9220363,5.09077425
506.0664357,1.596361619
514.85237,21.24923325
513.051263,4.328347973
514.310437,2.903705479
524.4159064,22.31140407
529.4495215,1.593935565
531.4582555,2.901327487
534.1549321,13.20027022
533.930934,9.795739616
535.0994939,5.824551033
535.5205596,3.613956055
546.5977024,1.59339911
552.643423,5.869385637
551.7260999,2.90718109
560.2985593,8.189391708
564.6224302,5.118168567
563.7455209,1.592094195
565.593868,6.608966354
562.3843154,5.849598865
573.7152503,3.616131361
569.6546498,8.215599292
580.922336,13.18179334
582.3203308,10.63872591
580.9853672,5.077285554
574.6596912,1.595342585
589.8851611,0.982498179
606.9061198,6.609986848
605.8379604,1.593853533
607.034067,0.983116091
619.2825606,5.823360186
623.7421895,12.31249232
617.8192027,6.613889468
622.8219848,3.615438299
622.8455083,0.982133551
630.1210257,14.89608098
641.3293416,0.981032875
644.8103741,1.591097951
655.9437701,48.05687679
657.7323119,2.898338586
657.5369478,2.234413592
660.516703,14.82051843
658.4785193,0.982005289
662.7161255,12.31614764
654.1635649,1.590038189
665.9477517,5.075189868
670.5031053,4.317073984
673.9391933,6.594925302
670.2041512,2.899307927
667.6696014,2.232891181
676.0656049,14.04082816
671.7283897,0.980447638
675.2987677,5.057142705
694.5640573,10.63069351
694.2882279,7.362753297
692.7746094,0.980989209
707.449387,18.44344773
708.6236253,0.980605167
722.4265621,2.890192664
724.9306655,3.603673538
727.069884,0.978910499
745.5656421,16.62422937
758.2052625,7.364176994
772.2801745,0.979932264
780.2418947,9.757906274
779.3295916,2.895618583
785.403167,6.587502699
794.4679511,1.58796275
790.2432786,2.899659884
809.4711144,5.79886026
821.6156916,10.59295898
823.399594,5.06197059
822.7228876,5.804351832
842.5617767,18.53004771
855.8804111,3.59442209
854.0257936,19.32972601
863.2640131,16.57466093
884.3609164,9.966765618
894.4079457,10.44389887
900.1468649,2.89085165
902.228489,5.798377928
974.5695529,12.61277063
985.4093272,12.1671099
997.7440854,3.591353546
363.6892961,0.437512906
374.0549385,0.432302164
389.6255132,0.437290214
396.5329933,0.432111457
413.8238047,0.431964816
455.3394409,0.441900636
474.350489,0.436563543
488.1742937,0.431334827
503.736024,0.431203085
514.1016664,0.426067493
526.2140788,0.431012862
538.3088024,0.425865081
545.2339714,0.43085197
557.3286949,0.425706111
562.5247828,0.430705757
588.4698443,0.43558667
619.5933048,0.435320629
654.1660832,0.429931653
671.4834278,0.445242955
695.6728749,0.434670992
723.3470176,0.43958192
811.5124669,0.428605776
