mum,kid,setup
-0.356725146,-0.976608187,adopted_kid_genetic_mum
-0.742690058,-0.684210526,adopted_kid_genetic_mum
0.18128655,-0.602339181,adopted_kid_genetic_mum
0.590643275,-0.602339181,adopted_kid_genetic_mum
-0.988304094,0.169590643,adopted_kid_genetic_mum
-0.766081871,0.169590643,adopted_kid_genetic_mum
-0.204678363,0.321637427,adopted_kid_genetic_mum
-0.157894737,0.614035088,adopted_kid_genetic_mum
-0.286549708,0.871345029,adopted_kid_genetic_mum
0.216374269,0.777777778,adopted_kid_genetic_mum
0.578947368,0.801169591,adopted_kid_genetic_mum
-0.883040936,-0.982708934,adopted_kid_adopted_mum
-0.847953216,-0.775216138,adopted_kid_adopted_mum
-0.578947368,-0.636887608,adopted_kid_adopted_mum
-0.497076023,-0.590778098,adopted_kid_adopted_mum
-0.391812865,-0.590778098,adopted_kid_adopted_mum
-0.450292398,-0.671469741,adopted_kid_adopted_mum
0.228070175,0.181556196,adopted_kid_adopted_mum
0.543859649,0.181556196,adopted_kid_adopted_mum
0.450292398,0.342939481,adopted_kid_adopted_mum
0.602339181,0.619596542,adopted_kid_adopted_mum
0.883040936,0.76945245,adopted_kid_adopted_mum
0.976608187,0.780979827,adopted_kid_adopted_mum
0.988304094,0.850144092,adopted_kid_adopted_mum
-0.958823529,-0.971181556,nonadopted_kid_genetic_mum
-0.888235294,-0.971181556,nonadopted_kid_genetic_mum
-0.170588235,-0.21037464,nonadopted_kid_genetic_mum
0.005882353,-0.187319885,nonadopted_kid_genetic_mum
0.005882353,-0.014409222,nonadopted_kid_genetic_mum
0.323529412,0.089337176,nonadopted_kid_genetic_mum
0.441176471,0.135446686,nonadopted_kid_genetic_mum
0.547058824,0.504322767,nonadopted_kid_genetic_mum
0.594117647,0.504322767,nonadopted_kid_genetic_mum
0.664705882,0.538904899,nonadopted_kid_genetic_mum
0.735294118,0.619596542,nonadopted_kid_genetic_mum
0.888235294,0.884726225,nonadopted_kid_genetic_mum
