Blah,geno_mean,geno,sex
-0.03770479539163629,1.6734495399117228,0,Female
1.0040397995062464,2.225480661330142,1,Female
1.9988030223685194,2.528989302012419,2,Female
3.4325577915762704,1.218373606643226,0,Male
4.455375177676367,1.2530859579561606,1,Male
5.484102640831899,2.0738385576419542,2,Male
