sex,Geno0.rad,Geno0.age,Geno.1.rad,Geno.1.age,Geno.2.rad,Geno.2.age
Female,-0.24193548387096775,0.9893617021276597,0.8709677419354838,1,1.9193548387096773,1
Female,0.16129032258064524,0.9893617021276597,1.0483870967741937,1,1.9838709677419357,1
Female,-0.22580645161290347,2,0.8064516129032258,2.0106382978723407,1.8870967741935487,2.0106382978723407
Female,0.24193548387096775,2,1.2258064516129032,2.0106382978723407,2.145161290322581,2
Female,-0.14516129032258096,3.0106382978723407,0.7580645161290323,3.0106382978723407,1.7419354838709677,3.0106382978723407
Female,0.04838709677419328,3.021276595744681,1.1774193548387097,3.0106382978723407,2.17741935483871,3.021276595744681
Male,-0.2239999999999993,0.9903492063492063,0.7839999999999998,0.9850158730158727,1.936,0.9789206349206347
Male,0.30400000000000027,0.9875555555555553,1.3119999999999994,0.9822222222222221,2.144,0.9778201058201055
Male,-0.03200000000000003,1.9840423280423278,0.944,1.9788783068783065,2.031999999999999,1.9731216931216926
Male,0.2400000000000002,1.993185185185185,1.2799999999999994,1.9771005291005286,2.1599999999999993,1.9724444444444438
Male,0.016000000000000014,2.978497354497354,0.9279999999999999,2.9736719576719572,1.8399999999999999,2.9794285714285706
Male,0.08000000000000096,2.97815873015873,1.1680000000000001,2.972402116402116,2.2399999999999993,2.9773121693121687
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
