"","g.array","erci","erla","erte","evmu","mobe","pehe","pere","plin","plpa","scba","stmi","vuoc"
"1",0.01,0.337987712131018,0.475012538733339,0.472437744733944,0.912656518559577,0.193397161214186,0.40226726471069,0.565232753658512,0.519251589304306,0.469731357761439,0.530077229575638,0.374182612702004,0.788491706039347
"2",0.02,0.357978395408842,0.518313769017829,0.49399465979958,1.02022879324338,0.217722750411648,0.440579226525777,0.59925235130228,0.549200355090309,0.499992938462463,0.619871697512817,0.409045238651088,0.890142476915757
"3",0.03,0.375529552682913,0.556493952493267,0.513738222264472,1.11092252510503,0.238984134044873,0.473464747167302,0.629123473602187,0.576407317855295,0.526827720056693,0.695083917233685,0.438339941231919,0.977027077003358
"4",0.04,0.391388352333988,0.591204562120597,0.532066562429985,1.19174405780413,0.258378143958662,0.502662697105757,0.656024609053726,0.601602861234346,0.551317109071506,0.761947065929666,0.464155204432732,1.05453837904421
"5",0.05,0.405970034051839,0.623331363917168,0.549245327844266,1.26569849740571,0.276466650741910,0.529121400320311,0.680645149515358,0.625230212319221,0.574055521291846,0.823104068967331,0.487492973283949,1.12533701035943
"6",0.06,0.419534564269814,0.65341940516736,0.565461851814016,1.33443375371107,0.293568104485517,0.55342844996248,0.70343092727736,0.647582397407539,0.595410956044198,0.879978802497157,0.508933216374494,1.19097880711991
"7",0.07,0.432258015042437,0.681834010261739,0.580853892521925,1.39897913038777,0.309884127380593,0.575978696202496,0.724690641341355,0.668865232230742,0.615629937696767,0.933447940374992,0.52884989667398,1.25247090804407
"8",0.08,0.44426650872106,0.708834908641186,0.595526134559689,1.46003266339543,0.325552138862099,0.597052933503627,0.744648913066309,0.68922995900257,0.634887232130299,0.984099663957976,0.547501831608625,1.31051123380185
"9",0.09,0.455654256508245,0.734614926145038,0.609560258972466,1.51809553808432,0.340670875030992,0.616859402526681,0.763475463946769,0.708791679279295,0.653312140360177,1.03235299614848,0.565077375727582,1.36560773134972
"10",0.1,0.466493957589567,0.759322052297005,0.623021394481385,1.57354304087078,0.355314148793647,0.635557618704492,0.781302382336551,0.727640471617983,0.671003571608462,1.07851994985652,0.581718856798484,1.41814404091044
"11",0.11,0.476843181579269,0.783072891134535,0.635962418021277,1.62666538501682,0.369538872428047,0.653272960245803,0.798234941499334,0.745848454653643,0.688039237028438,1.12284086797170,0.597537015096533,1.46841844881905
"12",0.12,0.486748485733144,0.805961296627281,0.648426918343416,1.67769278202174,0.383390025132476,0.670106060651896,0.814358694861805,0.763474467689973,0.704481541514749,1.16550590752943,0.612620055150385,1.51666835593741
"13",0.13,0.496248180965318,0.828064152888325,0.660451296619007,1.72681164444422,0.39690387974006,0.686139107462015,0.829744307781548,0.780567282970863,0.720381515231226,1.20666880586340,0.627039591435467,1.56308636417498
