"","g.array","erci","erla","erte","evmu","mobe","pehe","pere","plin","plpa","scba","stmi","vuoc"
"1",0.01,0.0512759864184617,0.096624058865511,0.0397995470596903,0.794888860953928,0.067665623472211,0.0867615227990228,0.0789416538283911,0.0578783766041857,0.0727578230008095,0.35761567573852,0.128584867018238,0.249728674233652
"2",0.02,0.102551972836923,0.193248117731022,0.0795990941193806,1.58977772190786,0.135331246944422,0.173523045598046,0.157883307656782,0.115756753208371,0.145515646001619,0.71523135147704,0.257169734036475,0.499457348467303
"3",0.03,0.153827959255385,0.289872176596533,0.119398641179071,2.38466658286179,0.202996870416633,0.260284568397068,0.236824961485173,0.173635129812557,0.218273469002429,1.07284702721556,0.385754601054713,0.749186022700955
"4",0.04,0.205103945673847,0.386496235462044,0.159198188238761,3.17955544381571,0.270662493888844,0.347046091196091,0.315766615313564,0.231513506416743,0.291031292003238,1.43046270295408,0.514339468072951,0.998914696934606
"5",0.05,0.256379932092309,0.483120294327555,0.198997735298451,3.97444430476964,0.338328117361055,0.433807613995114,0.394708269141955,0.289391883020928,0.363789115004048,1.78807837869260,0.642924335091188,1.24864337116826
"6",0.06,0.307655918510770,0.579744353193067,0.238797282358142,4.76933316572357,0.405993740833266,0.520569136794137,0.473649922970346,0.347270259625114,0.436546938004857,2.14569405443112,0.771509202109426,1.49837204540191
"7",0.07,0.358931904929232,0.676368412058577,0.278596829417832,5.5642220266775,0.473659364305477,0.607330659593159,0.552591576798737,0.4051486362293,0.509304761005667,2.50330973016964,0.900094069127664,1.74810071963556
"8",0.08,0.410207891347694,0.772992470924089,0.318396376477522,6.35911088763143,0.541324987777688,0.694092182392182,0.631533230627129,0.463027012833485,0.582062584006476,2.86092540590816,1.02867893614590,1.99782939386921
"9",0.09,0.461483877766155,0.8696165297896,0.358195923537213,7.15399974858535,0.608990611249899,0.780853705191205,0.71047488445552,0.520905389437671,0.654820407007286,3.21854108164668,1.15726380316414,2.24755806810286
"10",0.1,0.512759864184617,0.96624058865511,0.397995470596903,7.94888860953928,0.67665623472211,0.867615227990227,0.78941653828391,0.578783766041857,0.727578230008095,3.5761567573852,1.28584867018238,2.49728674233651
"11",0.11,0.564035850603079,1.06286464752062,0.437795017656593,8.74377747049321,0.744321858194321,0.95437675078925,0.868358192112302,0.636662142646042,0.800336053008905,3.93377243312372,1.41443353720061,2.74701541657017
"12",0.12,0.61531183702154,1.15948870638613,0.477594564716283,9.53866633144714,0.811987481666532,1.04113827358827,0.947299845940693,0.694540519250228,0.873093876009715,4.29138810886224,1.54301840421885,2.99674409080382
"13",0.13,0.666587823440002,1.25611276525164,0.517394111775974,10.3335551924011,0.879653105138743,1.12789979638730,1.02624149976908,0.752418895854414,0.945851699010524,4.64900378460076,1.67160327123709,3.24647276503747
