"","g.array","erci","erla","erte","evmu","mobe","pehe","pere","plin","plpa","scba","stmi","vuoc"
"1",0.01,0.341167089156886,0.482766177842642,0.473987468493061,1.02796965040316,0.201211165442925,0.409994427694467,0.569969244577026,0.52210105479527,0.474331234792495,0.595478563762983,0.388002491929631,0.818314698326619
"2",0.02,0.368429883783334,0.542979200702288,0.499551777211536,1.30470609536710,0.240333640939775,0.465512985605099,0.615248253947024,0.559014599234299,0.515040538167336,0.792895327141422,0.449044122582774,0.980180230951037
"3",0.03,0.395692678409783,0.603192223561933,0.525116085930012,1.58144254033105,0.279456116436624,0.521031543515731,0.660527263317023,0.595928143673328,0.555749841542178,0.99031209051986,0.510085753235917,1.14204576357546
"4",0.04,0.422955473036232,0.663405246421579,0.550680394648487,1.85817898529499,0.318578591933474,0.576550101426362,0.705806272687021,0.632841688112357,0.59645914491702,1.1877288538983,0.57112738388906,1.30391129619987
"5",0.05,0.45021826766268,0.723618269281225,0.576244703366962,2.13491543025894,0.357701067430324,0.632068659336994,0.75108528205702,0.669755232551386,0.637168448291861,1.38514561727674,0.632169014542204,1.46577682882429
"6",0.06,0.477481062289129,0.78383129214087,0.601809012085437,2.41165187522288,0.396823542927174,0.687587217247626,0.796364291427018,0.706668776990415,0.677877751666703,1.58256238065518,0.693210645195347,1.62764236144871
"7",0.07,0.504743856915577,0.844044315000516,0.627373320803912,2.68838832018682,0.435946018424024,0.743105775158257,0.841643300797016,0.743582321429444,0.718587055041545,1.77997914403361,0.75425227584849,1.78950789407313
"8",0.08,0.532006651542026,0.904257337860161,0.652937629522387,2.96512476515077,0.475068493920874,0.79862433306889,0.886922310167015,0.780495865868473,0.759296358416386,1.97739590741205,0.815293906501633,1.95137342669755
"9",0.09,0.559269446168474,0.964470360719807,0.678501938240862,3.24186121011471,0.514190969417724,0.85414289097952,0.932201319537013,0.817409410307502,0.800005661791228,2.17481267079049,0.876335537154776,2.11323895932197
"10",0.1,0.586532240794923,1.02468338357945,0.704066246959337,3.51859765507865,0.553313444914574,0.909661448890152,0.977480328907011,0.854322954746531,0.84071496516607,2.37222943416893,0.937377167807919,2.27510449194639
"11",0.11,0.613795035421372,1.08489640643910,0.729630555677812,3.7953341000426,0.592435920411424,0.965180006800784,1.02275933827701,0.89123649918556,0.881424268540911,2.56964619754737,0.998418798461062,2.43697002457080
"12",0.12,0.64105783004782,1.14510942929874,0.755194864396288,4.07207054500654,0.631558395908274,1.02069856471142,1.06803834764701,0.92815004362459,0.922133571915753,2.76706296092581,1.05946042911421,2.59883555719522
"13",0.13,0.668320624674269,1.20532245215839,0.780759173114763,4.34880698997049,0.670680871405124,1.07621712262205,1.11331735701701,0.965063588063618,0.962842875290595,2.96447972430425,1.12050205976735,2.76070108981964
