Expression,codon_bias
58.65348895,0.507545456
17.53792335,0.268419396
11.03507523,0.198312798
7.690235899,0.08643892
5.456163705,0.06613832
4.140610489,-0.032284379
2.98712154,-0.050456628
1.949260108,-0.125986007
1.594018946,-0.178683982
0.921459972,-0.171700411
0.508018079,-0.196866551
1.103027676,-0.233654779
