9.04E-10	0.00027987	4.52E-02	0.00027987	6.79E-09	0.16203966	0.00E+00	0.15293342
1.59E-09	-0.000955	7.94E-02	0	7.10E-09	0.17786978	0.00E+00	0.16848149
2.11E-09	0.00155478	1.05E-01	0.00155478	5.50E-09	0.18850688	0.00E+00	0.18126924
-1.32E-10	0.00490069	0	0.00490069	6.35E-09	0.11476435	0.00E+00	0.10715423
1.57E-09	0.00122099	7.83E-02	0.00122099	6.47E-09	0.16873483	0.00E+00	0.16053477
1.70E-09	-0.003352	8.49E-02	0	8.02E-09	0.18579033	0.00E+00	0.17501421
3.22E-10	-0.0006211	1.61E-02	0	7.91E-09	0.14427162	0.00E+00	0.13387933
4.00E-10	0.00263982	2.00E-02	0.00263982	5.87E-09	0.14859732	0.00E+00	0.14064952
-7.40E-10	0.0017684	0	0.0017684	7.99E-09	0.10742691	1.53E-10	0.09735151
5.49E-10	0.00029931	2.75E-02	0.00029931	7.46E-09	0.14659747	4.76E-11	0.13693588
-7.05E-10	0.00682287	0	0.00682287	5.58E-09	0.10166638	2.17E-10	0.09492061
-1.06E-09	0.00601294	0	0.00601294	5.60E-09	0.10295903	2.70E-11	0.09569333
5.06E-10	0.00600691	2.53E-02	0.00600691	5.79E-09	0.12336133	4.07E-10	0.11684315
1.11E-09	-0.001832	5.56E-02	0	8.45E-09	0.15810823	1.31E-10	0.14737723
2.12E-09	-0.0021335	1.06E-01	0	8.44E-09	0.17573019	2.93E-10	0.16543727
-1.04E-09	0.01308787	0	0.01308787	3.15E-09	0.08062569	3.79E-10	0.07749482
1.55E-09	-0.0016025	7.74E-02	0	8.90E-09	0.15592389	3.89E-10	0.14527326
1.85E-09	0.00075456	9.24E-02	0.00075456	7.86E-09	0.15626515	5.00E-10	0.14727879
5.97E-10	0.00437464	2.99E-02	0.00437464	6.50E-09	0.12765021	3.90E-10	0.12014625
1.80E-11	0.00478794	9.00E-04	0.00478794	7.05E-09	0.10748884	4.91E-10	0.09953164
2.97E-10	0.00340016	1.49E-02	0.00340016	7.42E-09	0.11772481	4.48E-10	0.10917229
5.52E-10	0.00066419	2.76E-02	0.00066419	8.72E-09	0.12493252	4.70E-10	0.11472835
2.23E-09	0.00036428	1.11E-01	0.00036428	8.02E-09	0.16277478	5.70E-10	0.15375479
-6.66E-10	0.00434447	0	0.00434447	8.73E-09	0.07618414	7.70E-10	0.06676273
4.76E-09	-0.0046378	2.38E-01	0	8.75E-09	0.23102246	5.60E-10	0.22101195
4.74E-09	-0.0027689	2.37E-01	0	7.87E-09	0.22834322	5.75E-10	0.21954358
3.36E-09	-0.0026119	1.68E-01	0	9.49E-09	0.18251399	7.85E-10	0.17213579
3.00E-09	-0.0021497	0.15	0	9.49E-09	0.17328322	7.80E-10	0.16288879
3.66E-09	0.00025757	1.83E-01	0.00025757	7.91E-09	0.18651038	8.20E-10	0.17829017
1.99E-09	0.00193844	9.97E-02	0.00193844	8.08E-09	0.14531893	7.75E-10	0.13675884
5.50E-10	0.00435566	2.75E-02	0.00435566	7.90E-09	0.10634234	7.85E-10	0.09803998
3.27E-09	0.00594597	1.63E-01	0.00594597	5.21E-09	0.17342582	8.05E-10	0.16870961
1.25E-10	0.00570683	6.25E-03	0.00570683	9.26E-09	0.06864766	1.30E-09	0.05990323
5.07E-10	0.00406664	2.54E-02	0.00406664	9.48E-09	0.08464592	1.20E-09	0.0753416
2.78E-09	0.00482583	1.39E-01	0.00482583	7.20E-09	0.14603676	1.12E-09	0.13952644
4.91E-09	0.00163874	2.46E-01	0.00163874	8.15E-09	0.19008003	1.36E-09	0.18295919
2.35E-09	0.00700281	1.18E-01	0.00700281	6.67E-09	0.12929489	1.20E-09	0.12369321
3.17E-09	0.00572961	1.58E-01	0.00572961	7.94E-09	0.13317946	1.55E-09	0.12682873
3.23E-09	0.00352604	1.61E-01	0.00352604	9.17E-09	0.13418617	1.59E-09	0.12632839
1.77E-09	0.0057594	8.84E-02	0.0057594	9.53E-09	0.08852747	1.73E-09	0.08055236
2.30E-09	0.00193789	1.15E-01	0.00193789	1.14E-08	0.10074078	1.81E-09	0.09053778
4.27E-09	0.01057395	2.14E-01	0.01057395	7.08E-09	0.12200313	2.26E-09	0.11863523
3.82E-09	-0.0013419	1.91E-01	0	1.17E-08	0.14557294	1.73E-09	0.13472352
3.03E-09	0.00999717	1.52E-01	0.00999717	6.61E-09	0.11535914	1.78E-09	0.11134226
4.35E-09	-0.0014067	2.18E-01	0	1.19E-08	0.15102635	1.89E-09	0.14033247
2.52E-09	0.0070217	1.26E-01	0.0070217	9.28E-09	0.09296765	2.00E-09	0.08604069
1.45E-09	0.00570436	7.27E-02	0.00570436	1.02E-08	0.07431965	1.85E-09	0.06578247
7.06E-09	0.01863338	3.53E-01	0.01863338	1.72E-09	0.17583724	2.49E-09	0.18010051
1.43E-09	0.00804585	7.16E-02	0.00804585	9.67E-09	0.06250957	2.04E-09	0.05517802
2.82E-09	0.01967955	1.41E-01	0.01967955	3.45E-09	0.07863375	2.27E-09	0.08004857
4.91E-09	0.00151131	2.46E-01	0.00151131	1.13E-08	0.14474108	2.25E-09	0.1358604
2.94E-09	0.00106622	1.47E-01	0.00106622	1.24E-08	0.10263328	2.10E-09	0.0918892
4.71E-09	0.0017856	2.35E-01	0.0017856	1.10E-08	0.14382903	2.17E-09	0.13510695
5.12E-09	0.00492723	2.56E-01	0.00492723	9.77E-09	0.14164053	2.37E-09	0.13503928
4.28E-09	0.00422464	2.14E-01	0.00422464	1.14E-08	0.11131354	2.55E-09	0.10310253
