child_lifespan,lower_CI,upper_CI
-0.097668394,-0.138082902,-0.05984456
0.008031088,-0.027720207,0.046373057
0.017875648,-0.011139896,0.046373057
0.017357513,-0.002849741,0.038601036
-0.00388601,-0.02253886,0.014248705
0.006994819,-0.012176166,0.027720207
-0.003367876,-0.019948187,0.014248705
