lantern_size,eggs
7.248291072,24.46743543
8.107472464,61.67636796
8.522220154,81.64067207
9.407284205,76.52877122
10.13777388,41.667263
10.38336713,81.57631058
11.17775991,46.5264523
11.76245019,113.5816092
11.92292078,102.4493458
11.96990426,69.47238415
12.34092906,141.4295928
12.46657958,56.45415046
13.25498353,112.4044764
13.46422491,67.57352396
14.46284564,26.4751342
16.35560833,86.3151187
16.50982318,158.2654187
17.74232397,87.38672453
18.80114235,83.39507437
19.11355941,194.1838622
14.84963387,99.08263614
9.887306946,62.3122462
7.764160021,45.30065072
7.762936869,38.37761143
7.73464129,28.22463591
5.906273953,29.66550875
