up1,down1,up2,down2,up3,down3,up4
,,,,0.902490347,0.861631494,0.865658583
1.916972202,1.479101393,2.782187584,0.402243445,3.165825655,0.745020327,1.139389316
2.933204453,2.370741951,2.251464096,0.374403099,1.552064394,-0.355798893,1.2960761
1.312312512,2.33744417,2.273628255,1.787368231,3.159043086,1.907863286,1.771049739
