cM_bin,LD
0.018309430388310094,0.06046676378358616
0.019076579623866857,0.04724293669838846
0.02025287511838722,0.04935393844665586
0.02300821945609524,0.0486717987245058
0.022528751183872264,0.06407186299185798
0.0259111819042816,0.052367794911214564
0.02653884946064622,0.051325124809355804
0.02723625785660691,0.04691589995057297
0.029049519686104697,0.03932479991010307
0.02862332566635095,0.04404866404521556
0.02981666892166146,0.048456687835332274
0.03318032326217957,0.041911201845994006
0.035915505344337684,0.04708294519136892
0.03365241509944525,0.046169486667323525
0.03767081585712351,0.039612521289160235
0.04055675821945609,0.042192524385765345
0.042365038560411294,0.03856720272910721
0.04260248951427409,0.03723099522585384
0.041707482072791235,0.047851802172997865
0.046757881206873214,0.039670125981924535
0.04822825057502367,0.03567737829917277
0.04992693816804222,0.03336091380561254
0.04999859496477005,0.0376012929950481
0.04937897442835881,0.034606653574339646
0.05293343255310512,0.030900974534901433
0.05206399675280746,0.03964337217738685
0.05541155705341877,0.0363337602894942
0.05754363414964145,0.03341835135207761
0.058508050331484235,0.02922133944806212
0.05781761601948315,0.03815644509731914
0.0588660533080774,0.031463862490259134
0.06137207414422946,0.02766613222503874
0.06510553375727235,0.02976378440043874
0.06663983222838588,0.033492003325535216
0.06663983222838588,0.029277557706260136
0.06691879558677016,0.03135664573685767
0.06702340684616426,0.022051007452325716
0.06851508591530239,0.03598389509418414
0.06992761466648625,0.027088129125874445
0.07016871871194696,0.026030472129914106
0.07303274252469222,0.024783371998244416
0.07392774996617507,0.03370024878407066
0.07316060073061831,0.029515621221214053
0.07824935732647814,0.026950480549609024
0.07927222297388714,0.02547517533566815
0.0803632796644568,0.02321365871572781
0.08351711541063456,0.03152978283864233
0.0827499661750778,0.026955115860376383
0.0863117304830199,0.02533023790116712
0.0884076917873089,0.02353273240373334
0.0872250033824922,0.022116254489757542
0.09088174807197946,0.024181587739491056
0.09175387562398082,0.02059450423978311
0.08850358544175349,0.021622493125408676
0.09562102557164118,0.01882216081617298
0.09886010012176971,0.023750155731784683
0.0997124881612772,0.020704462736878565
0.10039439859288324,0.021672510510368684
0.10192869706399676,0.019266546044086966
0.10346299553511026,0.01804240260961687
0.10525301041807608,0.017141650730453317
0.10499729400622379,0.026598398466540676
0.10706859694222703,0.020966495884202324
0.10921661480178596,0.016173886853631664
0.10998376403734272,0.022257329165285777
0.1121413712623461,0.018164383346918306
0.11343593559734813,0.017496058866207476
0.11362772290623732,0.0131633028940462
0.11543904749019074,0.014987280886396823
0.11612095792179677,0.019853416694284462
0.12123528615884188,0.02288511147138647
0.12117716879251178,0.017497982611782856
0.12304548917958541,0.01343778595023519
0.12264172642402926,0.011706651181845135
0.12554593424435123,0.010167229472515082
0.13065843593559734,0.014407430380767278
0.13235895007441484,0.013581236620298628
0.1291624949262617,0.012399030839371925
0.12954606954404008,0.01149904158791866
0.1318475172507103,0.010654642476465165
0.13261466648626707,0.015882036328459304
0.13525706940874038,0.01014371702659371
0.1393911514003518,0.014418867506247601
0.13913543498849956,0.013198924249617078
0.13721756189960765,0.015908968766514694
0.14253965972128263,0.010353492130048464
0.14182045731294818,0.009260504057983537
0.14719050196184552,0.01132375966249563
0.14523775845315556,0.007159773889662921
