time_1_cytoc,subs_1_cytoc,time_2_cytoc,subs_2_cytoc,time_1_hemo,subs_1_hemo,time_2_hemo,subs_2_hemo,time_1_Fib,subs_1_Fib,time_2_Fib,subs_2_Fib
93.71244861,6.97507115,93.82312638,3.95356804,93.12216718,23.0897544,90.77948772,17.04490355,30.88436808,42.18166965,28.67081269,32.61173184
241.9468747,20.1752398,239.8255508,8.087382734,82.97670496,20.06087277,85.78054179,13.51612733,48.48213345,51.76267524,48.77727416,43.70533361
296.0867503,12.1566354,296.1974281,9.135132286,85.24559924,28.12005903,85.50384737,21.06988511,60.6382418,69.90091704,58.88584379,47.74138295
303.8341942,10.65141773,303.446822,21.22667861,396.4899336,71.14973121,399.2015389,67.12290503,87.82808053,97.61831981,91.60957099,64.38363023
400.8248129,22.80752609,401.0092759,17.77168757,498.3503742,90.35970275,498.5717297,84.31669653,,,,
597.8681353,33.52482344,600.6904185,26.47649415,,,,,,,,
