id[ ],sire[ ],dam[ ],year[ ],diet[ ],"obs[ ,1]","obs[ ,2]","obs[ ,3]",PN[ ],CP[ ],DF[ ]
464,58,11,4,1,-0.537201222,-0.833637728,0.784495952,14.17241379,4.403074074,2379.310345
465,58,11,4,2,-0.932523459,-1.278393971,-0.157270727,13,3.731461538,2243.303571
466,58,11,4,1,-0.022960772,-0.278861473,-1.409228807,15.85714286,5.412692308,2062.5
467,58,11,4,1,0.566101507,-0.248212637,0.963575524,18.03448276,5.474777778,2405.172414
468,58,11,4,1,-0.456934995,-1.365804559,-2.500888695,14.42307692,3.61204,1904.846154
469,58,11,4,2,1.057280195,0.094009985,-1.409255439,20.07692308,6.21832,2062.496154
470,59,11,4,1,0.596303322,-0.170143065,-0.780492368,18.15384615,5.63616,2153.3
471,59,11,4,1,-0.15338984,0.079122734,-0.110901909,15.41176471,6.183966667,2250
472,59,11,4,2,-0.056344636,-0.593438816,0.810491373,15.74193548,4.814758621,2383.064516
473,59,11,4,1,-0.508715359,0.146840604,0.171343069,14.26086957,6.341777778,2290.76087
474,59,11,4,2,-0.078287643,-0.013480333,-0.110901909,15.66666667,5.9745,2250
475,59,11,4,2,0.39808003,0.616983507,0.538607761,17.38461538,7.55424,2343.8
476,59,11,4,1,0.276377378,-0.166693274,1.141056171,16.92857143,5.6434,2430.803571
