Z1 Z2 type_final
0.4467 0.0182 AV
0.0669 0 NA
0.0413 0 NA
1 0 PO
0 0 NA
0.9852 0.0148 PO
0.9918 0.0082 PO
0.4829 0 AV
0.083 0 NA
0.0354 0 NA
0.1345 0.0563 GAV
0 0 NA
0.1328 0.0264 GAV
0.0397 0 NA
0 0 NA
0 0 NA
0.115 0 NA
0 0 NA
0.4002 0.0298 AV
0.0847 0.0611 AV2
0 0 NA
0 0 NA
0.9605 0.0395 PO
0.0197 0.0167 NA
0 0 NA
0.0637 0 NA
0 0 NA
0 0 NA
0 0 NA
0.443 0.2479 FS
1 0 PO
1 0 PO
0.5694 0 AV
0.0521 0 NA
0.0684 0 NA
0 0 NA
0.9891 0.0109 PO
0.1424 0 NA
0.0763 0 NA
0 0 NA
0.1278 0 C1r1
0 0 NA
1 0 PO
0.1736 0 C1r1
0.6173 0.0026 G1
0.3164 0.0267 G2
0 0 NA
0 0 NA
0.5004 0.228 FS
0.0197 0 NA
0 0.0262 NA
0 0 NA
0.0892 0 NA
0 0 NA
0 0 NA
0.0694 0 NA
0.0527 0 NA
0 0 NA
0.3712 0 G2
0.1707 0 NA
0 0 NA
0.0062 0.0015 NA
0 0 NA
0.465 0.339 FS
0 0 NA
0.0708 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1197 0 NA
0 0 NA
0.0373 0 NA
0.047 0 NA
0 0 NA
0.0828 0 NA
0 0 NA
0 0 NA
1 0 PO
0.2638 0.0053 G2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.9969 0.0031 PO
1 0 PO
0 0 NA
0.5501 0.0427 G1
0.0074 0 NA
0 0 NA
0 0 NA
0.5062 0 AV
0 0 NA
0.0576 0 NA
0.4733 0 G1
1 0 PO
1 0 PO
1 0 PO
0.0992 0 NA
0 0 NA
0.0617 0 NA
0.0594 0 NA
0.0293 0.0171 NA
0 0 NA
0.1535 0 NA
0.0242 0.0095 NA
1 0 PO
0.107 0 NA
0.0057 0.0044 NA
0 0 NA
0 0 NA
0.3857 0.0662 G2
0.0304 0 NA
0.4469 0.2649 FS
0.1626 0 NA
0.0488 0 NA
0.0476 0 NA
0.0835 0 NA
0.0056 0.0119 NA
0.4767 0.0928 AV2
0.078 0 NA
0.0902 0 NA
0.0538 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1211 0 NA
0 0 NA
0.419 0.0471 G1
0.0131 0 NA
0.0498 0 NA
0 0 NA
0 0 NA
0.1027 0 NA
0.0096 0 NA
0.092 0 NA
0.088 0 NA
0.0208 0 NA
0 0 NA
0.0417 0 NA
0 0 NA
0 0 NA
0.5045 0 G1
0 0 NA
0.1113 0.0088 C1r1
0 0 NA
0 0 NA
0 0 NA
0.1063 0 NA
0.0545 0 NA
0.4781 0.2759 FS
0.5888 0.0076 HS
0.1197 0 NA
0 0 NA
0 0 NA
0.1527 0 NA
0.0402 0.0257 NA
0.0495 0.004 NA
0.0208 0 NA
0.2353 0 G2
0 0 NA
0 0 NA
0 0 NA
0.4921 0 AV
0.4378 0 AV
0.2477 0 NA
0.6532 5e-04 G1
0.0631 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0973 0 C0.5
0.0787 0 NA
0.0095 0.0262 NA
0.0262 0.0076 NA
0.0377 0 NA
0.9903 0.0097 PO
1 0 PO
9e-04 0.003 NA
0 0 NA
0.1318 0 NA
0.0633 0 NA
0 0 NA
0 0 NA
0.3623 0 G2
0 0 NA
0 0 NA
