Z1 Z2 type_final
0.0482 0.0331 NA
0 0 NA
0 0 NA
0 0 NA
0.0329 0 NA
0.0093 0.0428 NA
0 0 NA
0.1136 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1389 0 C0.5
0 0 NA
0 0 NA
0 0 NA
0 0 C2r1
0 0 NA
0 0 NA
0 0 NA
0.0252 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0838 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1474 0 NA
0.0907 0 NA
0 0 NA
0 0 NA
0.0398 1e-04 NA
0 0 NA
0 0 NA
0.1964 0 NA
0 0 NA
0 0 NA
0.1066 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0619 0.0481 NA
0.0295 0 NA
0 0 NA
0 0 NA
0.0187 0 NA
0.0022 0.0175 NA
0 0 NA
0.0767 0 NA
0.1926 0 NA
0 0 NA
0 0.0138 NA
0 0 NA
0 0 NA
0 0 NA
0.545 0.0141 G1
0 0 NA
0.5368 0 G1
0.1083 0 NA
0.3721 0 C1
0.0333 0 NA
0 0 NA
0 0 NA
0.035 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0612 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0226 0 NA
0.0685 0 NA
0.0429 0.0084 NA
0.0371 0 NA
0 0 NA
0 0 NA
0 0 NA
0.117 0 C4
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0612 0 NA
0.0267 0 NA
0.0365 0 NA
0.0418 0 NA
0 0 NA
0.0405 0.0178 NA
0.1136 0 NA
0.0127 0.0074 NA
0.1888 0 NA
0.1552 0 NA
0.0876 0 NA
0 0 NA
0.1046 0.0268 NA
0 0 NA
0 0 NA
0 0 NA
0.1558 0 NA
0.1201 0 NA
0 0 NA
0.1149 0 NA
0 0 NA
0.0069 0 NA
0.0651 0.0087 NA
0.0144 0 NA
0 0 NA
0 0 NA
0 0 NA
0.4014 0 AV
0.0212 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1512 0 NA
0.0943 0 NA
0.117 0 NA
0.1009 0 NA
0.0947 0 NA
0.0363 0 NA
0.0742 0 NA
0.1501 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1462 0 NA
0.1451 0 NA
0.0698 0 NA
0.0624 0.0146 NA
0.0013 0.035 NA
0 0 NA
0.0683 0 NA
0 0 NA
0.1252 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0433 0 NA
0.0401 0 NA
0.0145 0 NA
0.0433 0 NA
0.0258 0 NA
0 0 NA
0.0369 0 NA
0 0 NA
0 0 NA
0 0 NA
0.026 0.0134 NA
0.0433 0 NA
0.0313 0 NA
0.0259 0 NA
0.0244 0 NA
0 0 NA
0.0151 0 NA
0 0.0356 NA
0 0 NA
0.0941 0 NA
0.0846 0 NA
0 0.0152 NA
0 0 NA
0 0 NA
0 0 NA
0.0249 0 NA
0 0 NA
0 0 NA
0 0.026 NA
0 0 NA
0 0.041 NA
0.1217 0.022 NA
0.1534 0 NA
0 0 NA
0.0616 0 NA
0.0532 0 NA
0.0387 0 NA
0 0 NA
0.0423 0 NA
0 0 NA
0.2747 0 AV2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0487 0 NA
0 0 NA
0.0363 0 NA
0.0046 0.0088 C2r1
0 0 NA
0 0 NA
0 0.01 NA
0.0162 0 NA
0 0 NA
0 0 NA
0 0.0068 NA
0.0645 0 NA
0 0 NA
0.5953 0 AV
0.1831 0 C1r1
0.0884 0 NA
0 0 NA
0 0 NA
0.0492 0 C2
0 0 NA
0 0 NA
0 0 NA
0.0728 0 NA
0.0684 0 NA
0.0673 0 NA
0 0 NA
0.089 0 NA
0.0037 0.0074 NA
0.0866 0.0152 NA
0 0 NA
0 0 NA
0.0827 0.0154 NA
0 0 NA
0 0 NA
0.0664 0 NA
0.0385 0.0256 NA
0.025 0 NA
0.1053 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0808 0 C0.5
0.0192 0.0285 NA
0 0 NA
0 0 NA
0.0089 0 NA
0 0 NA
0 0.027 NA
0.1002 0 NA
0.0145 0.0104 C2r1
0 0 NA
0.1674 0 NA
0.1222 0 NA
0.0926 0 C3
0.0307 0 NA
0 0 C2r1
0 0 NA
0.1051 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0655 0 NA
0.0841 0 NA
0.0744 0 NA
0.035 0 NA
0 0 NA
0 0 NA
0.1073 0 NA
0 0 NA
0.0561 0 NA
0 0 NA
0 0 NA
0.1174 0 NA
0.1039 0 NA
0 0 NA
0 0 NA
0.5403 0.2353 FS
0.2081 0 C1r1
0 0 NA
0.0524 0 NA
0 0 NA
0.0359 0 NA
0 0 NA
0 0 NA
0.0681 0 NA
0.0512 0 NA
0.0796 0 NA
0.079 0 NA
0.0557 0 NA
0 0 NA
0 0 NA
0.0496 0 NA
0 0 NA
0 0 NA
0.1374 0 NA
0.1034 0 NA
0.0085 0.0232 NA
0 0.017 NA
0 0 NA
0.0332 0.0113 NA
0.1066 0 NA
0 0 NA
0.0388 0 NA
0 0 NA
0.0939 0 NA
0.0146 0 NA
0.0335 0 NA
0 0 NA
0.042 0 NA
0 0 NA
0 0 NA
0.065 0 NA
0.0206 0 NA
0.0281 0.0019 NA
0 0 NA
0 0 NA
0.163 0 NA
0.0183 0 NA
0.0278 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0864 0 NA
0.0107 0.0166 NA
0.0357 7e-04 NA
0.0235 0 NA
0.0537 0 C2r1
0 0 NA
0 0 NA
0.1046 0 NA
0 0 NA
0.0832 0 C2
0 0 NA
0.1595 0 NA
0.031 0 NA
0 0 NA
0 0 NA
0.098 0 NA
0.054 0.0117 NA
0.0219 4e-04 NA
0.1187 0 NA
0 0.0013 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0753 0 NA
0.0703 0 NA
0.0378 0 NA
0 0 NA
0.0775 0 C3
0 0 NA
0 0 NA
0 0 NA
0.1353 0 NA
0.0315 0 NA
0 0 NA
0.01 0.0131 NA
0.008 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1427 0 NA
0.604 0 AV
0 0 NA
0 0 NA
0 0 NA
0.0905 0 NA
0 0 NA
0 0 NA
0 0.0017 NA
0 0 NA
0.0183 0.0178 NA
0.0374 0.0031 NA
0 0 NA
0.1214 0 NA
0 0 NA
0.0857 0 NA
0.0434 0 NA
0 0 NA
0 0 NA
0.0704 0 NA
0.0197 0 NA
0 0 NA
0.4524 0.2817 FS
0.1225 0 NA
0.0847 0 NA
0.0248 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0225 0.0035 NA
0 0 NA
0 0 NA
0.0858 0 NA
0.1001 0 NA
0.0295 0.0091 NA
0 0 NA
0 0 NA
0 0 NA
0.1652 0 C1r1
0.1441 0 C1r1
0.0469 0 NA
0.0048 0.0126 NA
0 0 NA
0 0 NA
0.0588 0 NA
0.0583 0 NA
0.042 0 NA
0 0 NA
0.3466 0 NA
0.2359 0 NA
0.139 0 NA
0.0357 0 NA
0.0229 0 NA
0 0 NA
0.0914 0 NA
0.0292 0.0153 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0369 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0683 0 NA
0.0413 0 NA
0.0054 0.0121 NA
0 0 NA
0.2369 0 C1r1
0 0 NA
0.0686 0 NA
0.0816 0.0042 NA
0 0 NA
0 0 NA
0 0 NA
0 0 C2
0 0 C2r1
0 0 NA
0.0515 0 NA
0.1396 0.0199 C1r1
0.0204 0 NA
0 0 NA
0.0707 0 NA
0.0322 0 NA
0.0142 0.0036 NA
0 0 NA
0.1581 0 NA
0 0 NA
0.2993 0 AV2
0.1277 0 NA
0.0747 0 NA
0 0 NA
0.0925 0 NA
0.1215 0 NA
0.0394 0 NA
0.5228 0.0384 G1
0.0505 0 NA
0.2531 0 NA
0.0231 0 NA
0.1598 0 NA
0.4903 0.2994 FS
0.4693 0 C0.5
0.0689 0 NA
0.1198 0 NA
0.0118 0.0024 NA
0 0 NA
0 0 NA
0.0616 0 NA
0.0962 0 NA
0.0134 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0825 0 NA
0.0428 0 NA
0 0 NA
0 0 NA
0.0661 0 NA
0.0657 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2971 0 NA
0.0636 0 NA
0.0155 0.004 NA
0 0 NA
0.1214 0.0156 C0.5
0 0 NA
0.0392 0 NA
0 0 NA
0 0 NA
0.0382 0 NA
0 0 NA
0.0247 0 NA
0 0 NA
0.059 0.0021 NA
0.0565 0 NA
0 0 NA
0.0743 0 NA
0 0 NA
0.0705 0 NA
0.0547 0 NA
0 0 NA
0.0895 0 NA
0.1387 0 C1r1
0.1038 0.0038 NA
0.1294 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2435 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0653 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1961 0 NA
0 0 NA
0 0 NA
0 0.0233 NA
0 0 NA
0 0 NA
0 0 NA
0.082 0 NA
0.0194 0 NA
0.0917 0 NA
0 0 NA
0 0 NA
0.1039 0 NA
0.0892 0 NA
0.0218 0 NA
0.1171 0.0019 C2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0432 0 NA
0.1211 0 NA
0 0 NA
0 0.0262 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0371 0 NA
0.0587 0 NA
0 0 NA
0.0744 0 NA
0 0 NA
0.0779 0 NA
0.0422 0 NA
0.0709 0 NA
0 0 NA
0.1036 0 NA
0.0489 0 NA
0.0219 0.0181 NA
0 0 NA
0.0613 0 NA
0.0575 0 NA
0 0.0223 NA
0.0304 0.0025 NA
0.418 0 G1
0.0173 0 NA
0 0 NA
0 0 NA
0 0.0379 NA
0 0 NA
8e-04 0.0285 NA
0.0905 0 NA
0.0779 0 NA
0.0726 0 NA
0 0 NA
0 0 NA
0 0 NA
0.5721 0.0233 G1
0.3632 0 G1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2126 0 C1r1
0 0 NA
0.1124 0 NA
0.018 0.0042 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2477 0 AV2
0.0709 0.0023 NA
0.0473 0 NA
0 0 NA
0 0 NA
0.0511 0 NA
0.028 0.0022 NA
0 0 NA
0 0 NA
0.0459 0 NA
0 0 NA
0.0638 0 NA
0.0648 0 NA
0.0047 0 NA
0 0 NA
0 0 NA
0.073 0 NA
0 0 NA
0.1046 0 NA
0 0 NA
0.1626 0 C0.5
0 0 NA
0.0941 0 NA
0.1097 0 NA
0 0 NA
0 0 NA
0.0078 0 NA
0 0 NA
0 0 NA
0 0 NA
0.056 0 NA
0 0 NA
0.0191 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0046 0.0025 NA
0 0 NA
0 0 NA
0 0 NA
0.3062 0.0016 NA
0.1572 0 NA
0.0768 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0048 0 NA
0 0 NA
0 0 NA
0.2134 0 NA
0.1155 0 NA
0.0019 0.0193 NA
0.0049 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.056 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0187 0 NA
0 0 NA
0 0 NA
0.0415 5e-04 NA
0.0289 0 NA
0 0 NA
0.023 0.0218 NA
0.0403 0 NA
0 0 NA
0 0 NA
0.1347 0 NA
0.0165 0.0099 NA
0.0277 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1092 0 NA
0 0.031 NA
0 0 NA
0 0 NA
0 0 NA
0.0622 0 NA
0 0 NA
0 0 NA
0.0296 0 NA
0 0 NA
0 0 NA
0.0533 0 NA
0 0 NA
0.1501 0 NA
0.0862 0 NA
0.069 0 NA
0.0417 0 NA
0.0049 0.0033 NA
0 0 NA
0 0 NA
0 0 NA
0.441 0.0089 AV
0.1531 0 NA
0.049 0 NA
0.0097 0 NA
0 0 NA
0 0 NA
0.0483 0 NA
0.1233 0 NA
0.0165 0 NA
0 0 NA
0 0 NA
0.0268 0 NA
0.0533 0 NA
0.135 0 NA
0 0 NA
0.0389 0 NA
0.0127 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0788 8e-04 C2r1
0 0 NA
0.0356 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0824 0 NA
0.0824 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.3362 0.0206 GAV
0.0081 0.0159 NA
0 0 NA
0.0516 0 NA
0 0.0133 NA
0 0 NA
0.0965 0 NA
0.0266 0.001 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0503 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0358 0 NA
0.0224 0 NA
0 0 NA
0 0 NA
0 0.0133 NA
0 0 NA
0.5098 0.0015 AV
0.0618 0 NA
0 0.037 NA
0 0.0368 NA
0.047 0 NA
0.111 0 NA
0.0889 0 NA
0.0475 0 NA
0 0 NA
0.4534 0 G1
0.153 0 C1r1
0.0371 0 NA
0 0 NA
0.3129 0 C1
0 0 NA
0 0 NA
0 0 NA
0.0342 0 C4
0 0 NA
0 0 NA
0.0492 0 NA
0 0 NA
0.0444 0 NA
0.0458 0 NA
0.0329 0 NA
0 0 NA
0 0 NA
0 0.018 NA
0 0 NA
0.0491 0.019 NA
0 0.041 NA
0.0595 0 NA
0.0424 0 NA
0 0 NA
0.0571 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0413 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0989 0 NA
0.1205 0 NA
0.0086 0 NA
0 0 NA
0.064 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0165 0.0088 NA
0 0 NA
0 0 NA
0 0 NA
0.147 0 NA
0.1241 0 NA
0.0331 0 NA
0 0 NA
0 0 NA
0.0236 0.0211 NA
0.0541 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0017 0.0065 NA
0.0645 0 NA
0.0443 0 NA
0.0425 0 NA
0.022 0 NA
0.0187 0 NA
0.0173 0 NA
0.0052 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1405 0 NA
0.1097 0 NA
0.0937 0 NA
0.0364 0.0078 NA
0.0268 0.0211 NA
0 0 NA
0 0 NA
0.1093 0 NA
0.0726 0 NA
0.0577 0 NA
0 0 NA
0.0717 0 NA
0.0482 3e-04 NA
0 0 NA
0.0403 0 NA
0.0075 0.0084 NA
0.0926 0 NA
0.0214 0 NA
0 0 NA
0.0101 0.0153 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1888 0 C3
0 0 NA
0 0 NA
0.0451 0.029 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1298 0 NA
0.1027 0 NA
0 0.0369 NA
0 0 NA
0.0784 0 NA
0 0 NA
0 0 NA
0.1467 0 NA
0.0806 0 NA
0.0197 0 NA
0.0621 0 NA
0.0287 0 NA
0.0097 0.0018 NA
0.1063 0 NA
0.0795 0 NA
0 0.031 NA
0.0269 0 NA
0 0 NA
0.0201 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0052 0.0254 NA
0 0 NA
0 0 NA
0.3121 0 NA
0.1323 0 NA
0.1144 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.237 0 C1
0 0 NA
0 0 NA
0.1881 0 NA
0.1256 0 NA
0.1225 0 NA
0.0717 0 NA
0 0 NA
0.0393 0 NA
0.032 0 NA
0.0768 0 NA
0.0308 0 NA
0.0376 0 NA
0.0804 0 NA
0 0 NA
0.1006 0 NA
0.0226 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1085 0 NA
0.0759 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1318 0 NA
0.0442 0 NA
0.2317 0.0123 GAV
0 0 NA
0 0 NA
0.0748 0 NA
0 0 NA
0.0185 0.007 NA
0 0 NA
0 0 NA
0 0 NA
0.0933 0 NA
0.0885 0 NA
0 0 NA
0 0 NA
0.0308 0 C1r1
0.0373 0 NA
0 0 NA
0 0 NA
0.1501 0 NA
0.1461 0 NA
0 0 NA
0.1285 0 NA
0 0 NA
0.0475 0 NA
0 0.003 NA
0 0 NA
0.0594 0 NA
0.0477 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0098 0.0161 NA
0 0 NA
0.0442 0 NA
0.0795 0 NA
0.0434 0 NA
0 0 NA
0.0329 0 NA
0 0 NA
0 0 NA
0.0508 0 NA
0 0.0215 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0249 0 NA
0 0 NA
0.0823 0 NA
0 0 NA
0 0 NA
0.0562 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.026 0.0092 NA
0 0 NA
0.2102 0 NA
0.1725 0 NA
0.0911 0 C2r1
0.08 0 NA
0.0775 0 NA
0 0 NA
0 0 NA
0.065 0 NA
0.1208 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.072 0 NA
0.0231 0.0038 NA
0 0 NA
0 0 NA
0.0348 0 NA
0.0327 0.0097 NA
0 0 NA
0 0 NA
0.0979 0 NA
0 0.0174 NA
0.0427 0 NA
0.018 0 NA
0.0211 0 NA
0 0 NA
0 0 NA
0.4459 0 G1
0.1146 0 NA
0.0388 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1183 0 NA
0.0676 0 NA
0 0 NA
0 0 NA
0 0 NA
0.002 0.015 NA
0 0 NA
0 0 NA
0 0 NA
0.0902 0 NA
0 0.005 NA
0 0 NA
0.1639 0 NA
0 0 NA
0.0623 0 NA
0.0056 0.0164 NA
0 0 NA
0 0 NA
0 0 NA
0.4485 0.0055 AV
0.1852 0 NA
0 0 NA
0.0454 0 NA
0.1964 0 C0.5
0.1394 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 C3
0 0 NA
0.0321 0.0099 NA
0.179 0 NA
0.127 0 NA
0 0.0212 NA
0.0411 0 NA
0.0207 0 NA
0 0 NA
0 0 NA
0.0221 0 NA
0.1411 0 NA
0.0362 0.0084 NA
0 0 NA
0 0 NA
0.0352 0 NA
0 0 NA
0 0 NA
0.0377 0 NA
0 0.0165 NA
0.1281 0 NA
0.2284 0 AV2
0 0 NA
0.0297 0 NA
0 0 NA
0 0 NA
0.0853 0 C2
0.0539 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0735 0 NA
0.043 0 NA
0 0 NA
0.0509 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1163 0 NA
0 0 NA
0 0 NA
0.0284 0 NA
0 0 NA
0 0.0091 NA
0.0157 0 NA
0 0 NA
0 0 C2
0 0 NA
0 0 NA
0 0 NA
0.1813 0 NA
0.0568 0.0189 NA
0 0 NA
0 0 NA
0 0 C2r1
0 0 NA
0.0888 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1191 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0857 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0298 0 NA
0.1528 0 NA
0.0872 0 NA
0.0768 0 NA
0.0345 0.0018 NA
0 0 NA
0.1639 0 NA
0.0363 0 NA
0 0 NA
0 0 NA
0 0.0181 NA
0.0179 0.0081 NA
0 0 NA
0 0 NA
0 0 NA
0.1305 0 NA
0.0785 0 NA
0.0212 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0375 0.0039 NA
0 0 NA
0.0721 0 NA
0.0662 0 NA
0 0 NA
0.0747 0 NA
0.0185 0 NA
0 0 NA
0.0843 0 NA
0.1926 0 NA
0 0.0309 NA
0 0 NA
0.1327 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0424 NA
0.059 0 NA
0 0 NA
0.1867 0 NA
0 0 NA
0.0801 0 NA
0 0 NA
0 0 NA
0.0952 0 NA
0.0378 0 NA
0.0929 0 NA
0.1194 0 NA
0 0 NA
0.0205 0 NA
0 0 NA
0 0 NA
0.6296 0.0081 G1
0.3116 0.0151 G1
0 0 NA
0.0392 0 NA
0.0181 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0753 0 NA
0 0 NA
0 0 NA
0.0081 0.0425 NA
0 0 NA
0.0543 0 NA
0 0 NA
0 0 NA
0.2029 0 NA
0.039 0 NA
0 0 NA
0 0 NA
0.0276 0.0367 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0655 0 NA
0.0973 0 NA
0 0 NA
0 0 NA
0.1431 0.0108 NA
0.0219 0.014 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.3228 0 C1r1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0354 0 NA
0.0246 0 NA
0.0597 0 NA
0.1361 0 NA
0.0969 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0526 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1519 0 NA
0.1341 0 NA
0.0463 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1753 0 NA
0 0 C2r1
0 0 NA
0 0 NA
0.055 0.0205 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0067 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1594 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0296 0.0171 NA
0.0277 0.0071 NA
0.0416 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0787 0 NA
0.0311 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0538 0 NA
0 0 NA
0.0658 0 NA
0.0378 0 NA
0.0532 0 NA
0.0528 0 NA
0.2477 0 NA
0.0444 0 NA
0.0506 0 NA
0.0277 0.0044 NA
0.0256 0 NA
0.0863 0 NA
0.0803 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.19 0 NA
0.0405 0 NA
0.0397 0.0271 NA
0 0 NA
0 0 NA
0.0399 0 NA
0 0 NA
0 0 NA
0.0044 0.0241 NA
0 0 NA
0.0078 0 NA
0 0 NA
0.0288 0 NA
0.0086 0.0092 NA
0 0 NA
0.1249 0 NA
0.1414 0.0105 NA
0 0 NA
0 0 NA
0 0 C2
0.013 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0741 0 NA
0.0155 0 NA
0.0025 0.0046 NA
0 0 NA
0.0914 0 NA
0.0501 0 NA
0.0342 0.0052 NA
0.0525 0 NA
0.1122 0.0048 NA
0.0753 0 NA
0.0245 0.0172 NA
0.0207 0.015 NA
0 0 NA
0 0 NA
0.0519 0 NA
0 0 NA
0.0498 0.0157 NA
0 0 C1r1
0.1501 0 NA
0.0557 0 NA
0.0733 0 NA
0.0484 0.0065 NA
0 0 NA
0 0 NA
0.4983 0.1144 G1
0.4396 0 G1
0.013 0.0213 NA
0 0 NA
0 0 NA
0.0973 0 NA
0 0 C4
0 0 NA
0.0106 0 NA
0.0736 0 NA
0.0302 0.0186 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0175 NA
0 0 NA
0 0 NA
0.0478 0 NA
0.034 0 NA
0 0 NA
0.1092 0 NA
0 0 NA
0 0 NA
0.1598 0.0044 C1r1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0464 0.0094 NA
0 0 NA
0.2963 0 C1
0.0273 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.4471 0.2606 FS
0 0 NA
0 0 NA
0.0701 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1938 0.0062 NA
0.0423 0 NA
0.0325 0 NA
0 0 NA
0 0 NA
0.0387 0 NA
0.011 0.0026 NA
0 0 NA
0.0329 0 NA
0 0 NA
0.0377 0 NA
0.0431 0 NA
0 0.0084 NA
0 0 NA
0.1374 0.0325 NA
0.0401 0.006 NA
0.0249 0.0129 NA
0.0227 0 NA
0.0151 0.0117 NA
0.0561 0 NA
0 0 NA
0 0 NA
0 0 NA
0.096 0 NA
0.414 0.0073 GAV
0.1497 0 NA
0.0843 0 NA
0 0 NA
0.0577 0 C2
0.0209 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0204 NA
0.0316 0 NA
0 0 NA
0 0 NA
0 0 C2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2366 0 NA
0.0726 0 NA
0 0 NA
0 0 NA
0.0102 0.0031 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.061 0 NA
0 0.0253 C2
0.0411 0 NA
0.014 0.0029 NA
0 0 NA
0.0276 0 NA
0.0441 0.0052 NA
0 0 NA
0 0 NA
0.1122 0 NA
0.016 0 NA
0.0151 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0381 NA
0 0.0303 NA
0.0095 0.0243 NA
0 0 NA
0.0012 0.0159 NA
0.0119 0 NA
0 0 NA
0 0 NA
0.082 0 NA
0 0 NA
0.077 0 NA
0 0 NA
0.0502 0 NA
0 0 NA
0.0084 0.0359 C4
0.0012 0.0229 NA
0 0 NA
0.0833 0 NA
0 0.0246 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1342 0 NA
0.0867 0 NA
0 0 NA
0.1307 0 NA
0.021 0 NA
0 0 NA
0.0528 0 NA
0 0 NA
0.0773 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0812 0 NA
0 0 NA
0.0262 0.0023 NA
0 0.0133 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0865 0 NA
0.0646 0 NA
0 0 NA
0.096 0 NA
0 0 NA
0 0 NA
0.0334 0 NA
0 0 NA
0.1494 0 NA
0.118 0 NA
0.0569 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1954 0.0096 NA
0 0 C2
0 0 NA
0 0 NA
0.1455 0 NA
0.1384 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0446 NA
0.0542 0 NA
0.1336 0 NA
0.1076 0 NA
0 0 NA
0 0 NA
0.6125 0 AV
0.104 0 NA
0.2828 0 NA
0.1972 0 NA
0.1251 0 NA
0 0 NA
0.0479 0 NA
0 0 NA
0 0 NA
0.1514 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.043 0.0231 NA
0 0 NA
0 0 NA
0.0593 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.038 0 NA
0.1159 0 NA
0.098 0 NA
0.0902 0 NA
0 0 NA
0.1588 0 C1r1
0.0502 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0545 0 NA
0 0 NA
0 0 NA
0.0737 0 C2r1
0 0 NA
0 0 NA
0 0.019 NA
0.2027 0 NA
0.1736 0 NA
0.1225 0 NA
0.0814 0.0095 NA
0 0 NA
