reversals,stripes
-0.889637072,0.30260406
-0.562780398,0.239417675
-1.145630511,-0.252786549
-0.828960426,-0.392052491
-0.834422801,-0.989370515
-0.835702276,-0.848201763
-0.540586426,-1.009317203
-0.543145376,-0.726979701
-0.544129588,-0.618388353
-1.112905475,-0.263448842
-0.820446996,-0.131367644
-0.856912036,0.291941767
-0.260135329,0.447578429
0.085224523,0.742874718
0.933762559,-0.479155218
0.936321509,-0.761492721
0.674127537,-0.632757843
1.222727086,-1.161574739
0.656903834,-1.132409268
0.915653065,-0.881074431
0.913389379,-0.631314333
0.91181464,-0.457568177
0.899462784,-0.294746771
0.022382612,-0.723567767
0.020217347,-0.484666803
0.030010252,-0.365150707
-0.258560591,0.273832274
-0.245716629,0.056715194
-0.243452942,-0.193044905
-0.241287677,-0.431945868
-0.566569612,-0.542505639
-0.569522247,-0.216731597
-0.571589092,0.011310232
-0.57316383,0.185056387
-0.836243592,0.411523478
-1.161427107,0.290104572
-1.146909986,-0.111617798
-1.144941562,-0.328800492
-1.142776297,-0.567701456
-1.141004716,-0.763165881
-0.892786549,0.650096371
-0.873692844,0.943424236
-0.272290342,0.588681567
-0.237892147,0.393413984
-0.208857904,-0.410030757
0.038917367,-0.147902399
0.047430798,0.112782448
0.313660037,-0.461176953
0.595144556,-0.318302235
0.056239491,0.340889891
0.047135534,0.145359852
0.049103957,-0.071822842
0.051170802,-0.299864671
0.05353291,-0.560483904
-0.242763994,-0.269058848
-0.244338733,-0.095312692
-0.257576379,0.165240927
-0.52567562,0.945523888
-0.526167726,0.999819561
-0.855780193,1.367061718
0.937453352,0.31362723
0.938831249,0.161599344
0.930317818,-0.099085503
0.93297519,-0.392282141
-0.579413574,-0.325388559
-0.545409063,-0.477219602
-0.544228009,-0.607529219
-0.542259586,-0.824711913
-0.540980111,-0.965880664
-0.861291778,-0.424826738
-0.86316178,-0.218503178
-0.844461759,0.118261226
-0.846134919,0.302866516
-0.846528604,0.346303055
-0.847020709,0.400598729
-0.849776502,0.704654501
-0.850170187,0.74809104
-1.136920238,-0.013819971
-1.135739184,-0.144129588
-1.134951815,-0.231002666
-1.13455813,-0.274439204
-1.133869182,-0.350453147
-1.132589707,-0.491621899
-1.131310232,-0.63279065
-1.119548903,-0.730457248
-1.117974164,-0.904203404
-1.116202584,-1.099667829
-0.544375641,0.608759483
-0.263087964,0.773352471
-0.261414804,0.588747181
-0.259741644,0.404141891
-0.2576748,0.176100062
-0.279425877,0.175968833
-0.254722165,-0.14967398
-0.253245848,-0.312561001
-0.25176953,-0.475448021
-0.25176953,-0.475448021
-0.21697765,-0.714152143
-0.214910806,-0.942193972
-0.213926594,-1.050785319
0.330588477,0.071051876
0.342349805,-0.026614722
0.35548903,-0.276309206
0.357359032,-0.482632766
0.359425877,-0.710674595
0.360213246,-0.797547673
0.36060693,-0.840984212
0.360902194,-0.873561616
0.361295879,-0.916998155
0.361295879,-0.916998155
0.362181669,-1.014730367
0.341513225,-1.134312077
0.339938487,-0.960565922
0.339052696,-0.862833709
0.340725856,-1.047438999
0.341710068,-1.156030347
0.624375641,-1.143465245
0.623981956,-1.100028706
0.62004511,-0.665663318
0.631412754,-0.719893377
0.935435719,-0.663760509
0.934156244,-0.522591757
0.933762559,-0.479155218
0.932384663,-0.327127332
0.931990978,-0.283690794
0.625015378,-0.014049621
0.625212221,-0.03576789
0.626098011,-0.133500103
0.628263277,-0.372401066
-0.54767275,-0.227459504
-0.546983802,-0.303473447
-0.546393275,-0.368628255
-0.545704326,-0.444642198
-0.544916957,-0.531515276
-0.54432643,-0.596670084
-0.857945458,-0.794037318
-0.850317818,-0.435620258
-0.85130203,-0.327028911
-0.851695715,-0.283592372
-0.852679926,-0.175001025
-1.17013738,0.051137995
-1.169153168,-0.057453352
-1.167873693,-0.198622104
-1.166692639,-0.32893172
-1.165708427,-0.437523067
-0.879155218,0.346106213
-0.87925364,0.356965348
-0.878958376,0.324387943
-0.879056797,0.335247078
-0.506040599,-0.020873488
-0.244830839,-0.041017019
-0.244043469,-0.127890096
-0.240598729,-0.507959811
-1.129292598,0.344597088
-1.137215501,0.018757433
-0.879155218,0.346106213
-0.855435719,0.129054747
-0.520951405,0.424285421
-0.518687718,0.174525323
-0.518687718,0.174525323
-0.290301415,0.175903219
-0.267172442,0.024006561
0.111010867,0.297781423
0.079466885,0.178134099
0.080254255,0.091261021
0.081238466,-0.017330326
0.08153373,-0.04990773
0.082714784,-0.180217347
0.082714784,-0.180217347
0.341365594,0.081976625
0.341956121,0.016821817
0.593077712,-0.090260406
0.626294853,-0.155218372
0.627180644,-0.252950584
0.627180644,-0.252950584
0.311297929,-0.20055772
0.347369284,-0.580430593
0.347369284,-0.580430593
0.347959811,-0.645585401
0.042952635,-0.593126922
0.047332376,0.123641583
0.045659217,0.308246873
0.07474267,0.699372565
0.074545827,0.721090835
0.074152143,0.764527373
0.324683207,0.722599959
0.324880049,0.70088169
0.325076892,0.67916342
-0.541423006,0.282985442
-0.541423006,0.282985442
-0.547525118,0.956251794
-0.823448842,1.399835965
-0.496690588,1.347508714
-1.125355751,-0.0897683
-1.125355751,-0.0897683
-0.829846217,-0.294320279
-0.829846217,-0.294320279
-0.458207915,-0.498412959
-0.458207915,-0.498412959
-0.208759483,-0.420889891
-0.208759483,-0.420889891
0.05018659,-0.191273324
0.05185975,-0.375878614
0.052351856,-0.430174287
0.052351856,-0.430174287
0.363510355,0.038671314
0.363510355,0.038671314
0.362821407,0.114685257
0.897199098,-0.044986672
-0.239811359,-0.594832889
-0.240795571,-0.486241542
-0.241189256,-0.442805003
-0.242665573,-0.279917982
-0.243157679,-0.225622309
-0.557564076,-0.336116465
-0.558646709,-0.216665983
-0.558646709,-0.216665983
-0.556481444,-0.455566947
-0.555694074,-0.542440025
-0.555694074,-0.542440025
-0.818183309,-0.381127742
-0.818380152,-0.359409473
-0.8190691,-0.28339553
-0.819659627,-0.218240722
-0.517605085,0.055074841
-0.518195612,0.120229649
-0.518490876,0.152807054
-0.518490876,0.152807054
-0.856715194,0.270223498
-0.523362723,-0.509665778
-0.546393275,-0.368628255
-0.546590117,-0.346909986
-0.547574328,-0.238318639
-0.833389379,0.096608571
-0.835751487,0.357227804
-0.835948329,0.378946073
-1.139872873,0.31195407
-1.140069715,0.33367234
-1.140561821,0.387968013
-1.140561821,0.387968013
-0.531039574,0.33734673
-0.5316301,0.402501538
-0.529956941,0.217896248
-0.52985852,0.207037113
-0.503087964,-0.346647529
-0.515341398,-0.194685257
-0.852876769,-0.153282756
-1.180619233,0.007635842
-0.562386713,0.195981136
-0.562878819,0.25027681
-0.563272504,0.293713348
0.051367644,-0.32158294
0.049989748,-0.169555054
0.050088169,-0.180414189
0.05185975,-0.375878614
0.053139225,-0.517047365
0.054025015,-0.614779578
0.054123437,-0.625638712
0.054221858,-0.636497847
0.055698175,-0.799384868
0.055698175,-0.799384868
-0.545212221,-0.498937872
-0.544129588,-0.618388353
-0.543342219,-0.705261431
-0.543145376,-0.726979701
-0.542358007,-0.813852778
