reversals,stripes
4.751260504,-0.817427386
3.278991597,-1.106224066
2.986554622,-1.036514523
2.684033613,-0.996680498
2.401680672,-1.116182573
1.806722689,-1.156016598
1.504201681,-1.156016598
1.504201681,-1.046473029
1.514285714,-0.090456432
1.514285714,0.77593361
1.231932773,0.785892116
1.231932773,0.24813278
0.919327731,-0.986721992
0.929411765,-0.448962656
0.939495798,-0.219917012
0.929411765,0.128630705
0.929411765,0.258091286
0.63697479,-1.106224066
0.63697479,-1.046473029
0.626890756,-0.757676349
0.626890756,-0.3593361
0.63697479,-0.180082988
0.63697479,1.731950207
0.344537815,3.026556017
0.344537815,1.473029046
0.344537815,1.114522822
0.344537815,0.945228216
0.344537815,0.606639004
0.344537815,0.427385892
0.344537815,-0.100414938
0.344537815,-0.269709544
0.354621849,-0.448962656
0.324369748,-1.046473029
0.334453782,-1.156016598
0.042016807,-1.106224066
0.031932773,-1.036514523
0.031932773,-0.628215768
0.031932773,-0.439004149
0.031932773,0.287966805
0.05210084,0.596680498
-0.260504202,-1.146058091
-0.260504202,-1.026556017
-0.250420168,-1.056431535
-0.250420168,-0.817427386
-0.250420168,-0.797510373
-0.250420168,-0.747717842
-0.250420168,-0.3593361
-0.260504202,-0.27966805
-0.260504202,-0.100414938
-0.250420168,0.118672199
-0.260504202,0.287966805
-0.250420168,0.427385892
-0.250420168,0.77593361
-0.250420168,1.293775934
-0.552941176,-1.126141079
-0.552941176,-0.976763485
-0.552941176,-0.897095436
-0.56302521,-0.638174274
-0.552941176,-0.000829876
-0.542857143,0.128630705
-0.552941176,0.955186722
-0.532773109,1.30373444
-0.542857143,1.990871369
-0.532773109,3.713692946
-0.855462185,-0.439004149
-0.845378151,-0.289626556
-0.865546218,0.417427386
-0.855462185,0.606639004
-0.855462185,0.686307054
-0.855462185,0.785892116
-0.835294118,1.134439834
-0.845378151,1.642323651
-0.835294118,2.757676349
-0.845378151,3.036514523
-1.137815126,2.339419087
-1.137815126,1.30373444
-1.14789916,0.945228216
-1.137815126,0.77593361
-1.137815126,0.606639004
-1.14789916,0.437344398
-1.157983193,0.307883817
-1.157983193,0.228215768
-1.137815126,-0.239834025
-1.137815126,-0.319502075
-1.14789916,-0.468879668
-0.56302521,-0.757676349
